stop_code,stop_name,stop_lat,stop_lon
11565,שד.ראשון לציון/יסוד המעלה,31.782395,34.658259
11566,שד.ראשון לציון/שפייה,31.781359,34.660929
13112,ראשל''צ / דגניה,31.782302,34.658763
13117,שד.ראשון לציון/שפייה,31.781409,34.661052
38607,גולדה מאיר/ההרדוף,31.970953,34.786275
38634,ת. רכבת משה דיין,31.987491,34.757304
38635,ת. רכבת משה דיין,31.987208,34.757307
38679,שמעון פרס/הנרי קיסינג'ר,31.96884,34.768578
38680,מרכז פרס נובל,31.96785,34.765001
38681,מרכז פרס נובל,31.968494,34.763981
38683,המכללה למינהל/מוטה גור,31.969716,34.773428
38684,נווה דקלים/פרי גן,31.979313,34.763289
38685,שמעון פרס/מעגל השלום,31.97156,34.763581
38686,כצנלסון/ארלוזורוב,31.967711,34.793144
38690,כביש 4311/מושביץ,31.948909,34.770685
38691,ביה''ס אבני החושן/ה באייר,31.982914,34.774701
38692,אברהם בומה שביט/התגלית,31.950059,34.762258
38694,אברהם בומה שביט/מרק מושביץ,31.950808,34.769018
38697,שדרות היובל/כל ישראל חברים,31.979898,34.79861
38701,שמעון פרס/ורבורג,31.970816,34.762843
38702,שמעון פרס/מעגל השלום,31.968159,34.767743
38706,צומת עין הקורא,31.955641,34.78427
38719,מרכז רמת אליהו/זלמן שניאור,31.985493,34.787393
38721,צומת עין הקורא,31.955792,34.787394
38739,בן גוריון/כיכר השוטר,31.967036,34.789549
38765,חוף ראשון לציון,31.996452,34.733902
38798,חנה ומיכאל לוין/חיים שרף,31.964139,34.823245
38799,בית עלמין צבאי/יוסף בורג,31.968847,34.819409
38801,צומת עין הקורא,31.956807,34.786252
38802,ג'י סיטי/חיים בר-לב,31.983128,34.767979
38803,בסקינד/הכשרת הישוב,31.988595,34.768822
38804,גדולי ישראל/השירה העברית,31.978316,34.767407
38809,גולדה מאיר/הסיתוונית,31.976016,34.784023
38810,אנילביץ'/צייטלין,31.984269,34.789882
38811,כביש 4311/כביש 412,31.95373,34.778514
38812,כביש 4311/המדע,31.950591,34.775117
38813,כביש 4311/מושביץ,31.949267,34.7722
38814,כביש 4311/נטעים,31.949374,34.773575
38815,צומת עין הקורא,31.955737,34.781706
38817,התזמורת/הקלרנית,31.964225,34.77408
38818,התזמורת/הגיתית,31.964756,34.771862
38823,נווה דקלים/החלוצים,31.981693,34.764979
38824,נווה דקלים/נתיב העשרה,31.979799,34.763536
38825,התזמורת/התוף,31.964231,34.771467
38826,המכללה למנהל/יצחק רבין,31.970068,34.77469
38939,העצמאות/אהרון אוזן,31.984372,34.80375
38958,מתחם פלאנט,31.980599,34.74823
38970,שדרות היובל/העצמאות,31.982838,34.801209
38971,שדרות הציונות/העצמאות,31.982048,34.803062
31850,ת. רכבת משה דיין,31.987896,34.758433
31851,יגאל אלון/הרב טיבוביץ,31.961191,34.820654
